inv_pk,inv_type,inv_scancode,inv_name,inv_size,inv_receiptalias,inv_discontinued,pi1_description,pi2_description,brd_name,dpt_name,sib_baseprice,inv_lastreceived,inv_lastsold,del_ingredientList,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Ingredient_5,Ingredient_6,Ingredient_7,Ingredient_8,Ingredient_9,Ingredient_10,Ingredient_11,Ingredient_12,Ingredient_13,Ingredient_14,Ingredient_15,Ingredient_16,Ingredient_17,Ingredient_18,Ingredient_19,Ingredient_20,Ingredient_21,Ingredient_22,Ingredient_23,Ingredient_24,Ingredient_25,Ingredient_26,Ingredient_27,Ingredient_28,Ingredient_29,Ingredient_30,Ingredient_31,Ingredient_32,Ingredient_33,Ingredient_34,Ingredient_35,Ingredient_36,Ingredient_37,Ingredient_38,Ingredient_39,Ingredient_40,Ingredient_41,Ingredient_42,Ingredient_43,Ingredient_44,Ingredient_45,Ingredient_46,Ingredient_47,Ingredient_48,Ingredient_49,Ingredient_50,Ingredient_51,Ingredient_52,Ingredient_53,Ingredient_54,Ingredient_55,Ingredient_56,Ingredient_57,Ingredient_58,Ingredient_59,Ingredient_60,Ingredient_61,Ingredient_62,Ingredient_63,Ingredient_64,Ingredient_65,Ingredient_66,Ingredient_67,Ingredient_68,Ingredient_69,Ingredient_70,Ingredient_71,Ingredient_72,Ingredient_73,Ingredient_74,Ingredient_75,Ingredient_76,Ingredient_77,Ingredient_78,Ingredient_79,Ingredient_80,Ingredient_81,Ingredient_82,Ingredient_83,Ingredient_84,Ingredient_85,Ingredient_86,Ingredient_87,Ingredient_88,Ingredient_89,Ingredient_90,Ingredient_91,Ingredient_92,Ingredient_93,Ingredient_94,Ingredient_95,Ingredient_96,Ingredient_97,Ingredient_98,Ingredient_99,Ingredient_100,Ingredient_101,Ingredient_102,Ingredient_103,Ingredient_104,Ingredient_105,Ingredient_106,Ingredient_107,Ingredient_108,Ingredient_109,Ingredient_110,Ingredient_111,Ingredient_112,Ingredient_113,Ingredient_114,Ingredient_115
37312,Stock Inventory     ,11172,Cook Eat Feel Healthy America ,1 ct ,Cook Eat Feel Healthy America   ,1,OTHER (MISCELLANEOUS BASE-CODE,Books                         ,Cooking with Phil             ,Mercantile                    ,19 99,2/5/15 0:00,2/8/17 15:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43576,Stock Inventory,12511530129,Candy Delish Fish OG,2 oz ,WS Candy Delish Fish OG 2OZ,1,SHELF STABLE CANDY            ,SS CANDY NON CHOCOLATE        ,Wholesome Sweeteners          ,Packaged Grocery              ,1 99,6/14/21 15:56,7/27/21 11:20,"ORGANIC CANE SUGAR*, ORGANIC TAPIOCA SYRUP, ORGANIC APPLE JUICE (WATER, ORGANIC APPLE JUICE CONCENTRATE), ORGANIC AGAVE POWDER (ORGANIC AGAVE, ORGANIC CORN MALTODEXTRIN), NATIVE STARCH BLEND (ORGANIC TAPIOCA STARCH, CORN STARCH), ORGANIC TAPIOCA DEXTROSE, NATURAL RASPBERRY FLAVOR, CITRIC ACID, COLORED WITH VEGETABLE EXTRACT (ORGANIC BLACK CARROT), SODIUM CITRATE, ORGANIC SUNFLOWER OIL, ORGANIC CARNAUBA WAX ",ORGANIC CANE SUGAR*, ORGANIC TAPIOCA SYRUP, ORGANIC APPLE JUICE (WATER, ORGANIC APPLE JUICE CONCENTRATE), ORGANIC AGAVE POWDER (ORGANIC AGAVE, ORGANIC CORN MALTODEXTRIN), NATIVE STARCH BLEND (ORGANIC TAPIOCA STARCH, CORN STARCH), ORGANIC TAPIOCA DEXTROSE, NATURAL RASPBERRY FLAVOR, CITRIC ACID, COLORED WITH VEGETABLE EXTRACT (ORGANIC BLACK CARROT), SODIUM CITRATE, ORGANIC SUNFLOWER OIL, ORGANIC CARNAUBA WAX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43746,Stock Inventory,23923300347,Winter Squash OG              ,4 oz ,EB Winter Squash OG 4OZ,0,SHELF STABLE BABY FOOD        ,SS BABY FOOD                  ,Earth's Best                  ,Packaged Grocery              ,1 5,5/22/24 0:00,8/6/24 15:25,ORGANIC WINTER SQUASH ,ORGANIC WINTER SQUASH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43747,Stock Inventory,23923300316,Sweet Potatoes OG             ,4 oz                ,"BABY FD,OG2,SWT POT,ST 1",1,SHELF STABLE BABY FOOD        ,SS BABY FOOD                  ,Earth's Best                  ,Packaged Grocery              ,1 5,8/24/20 16:47,2/22/21 17:11,"ORGANIC SWEET POTATOES, WATER ",ORGANIC SWEET POTATOES, WATER ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43748,Stock Inventory,23923300378,Spinach & Potatoes OG         ,4 oz                ,Spinach & Potatoes OG,1,SHELF STABLE BABY FOOD        ,SS BABY FOOD                  ,Earth's Best                  ,Packaged Grocery              ,1 29,6/4/18 0:00,1/11/20 12:54,"WATER, ORGANIC SPINACH, ORGANIC POTATOES, ORGANIC CARROTS, ORGANIC BARLEY FLOUR, ORGANIC BROWN RICE ",WATER, ORGANIC SPINACH, ORGANIC POTATOES, ORGANIC CARROTS, ORGANIC BARLEY FLOUR, ORGANIC BROWN RICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43749,Stock Inventory,23923330351,Pouch Swt Potato & Beet       ,3 5 oz              ,"POUCH,OG2,SWT POT,BEET",1,SHELF STABLE BABY FOOD        ,SS BABY FOOD                  ,Earth's Best                  ,Packaged Grocery              ,1 66,5/3/18 0:00,12/29/18 12:39,ORGANIC SWEET POTATO,ORGANIC SWEET POTATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43750,Stock Inventory,23923330344,Pouch Squash & Sweet Pea,3 5 oz ,EB Pouch Squash & Swt Pea 3 5OZ,0,SHELF STABLE BABY FOOD        ,SS BABY FOOD                  ,Earth's Best                  ,Packaged Grocery              ,2 59,5/30/24 0:00,10/6/24 10:19,ORGANIC BUTTERNUT SQUASH PUREE,ORGANIC BUTTERNUT SQUASH PUREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43751,Stock Inventory,23923330337,Pouch Pumpkin & Spin          ,3 5 oz              ,Pouch Pumpkin & Spin,1,SHELF STABLE BABY FOOD        ,SS BABY FOOD                  ,Earth's Best                  ,Packaged Grocery              ,1 66,7/26/18 0:00,12/29/18 12:39,ORGANIC PUMPKIN PUREE,ORGANIC PUMPKIN PUREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43752,Stock Inventory,23923300323,Peas & Brown Rice OG          ,4 oz                ,Peas & Brown Rice OG,1,SHELF STABLE BABY FOOD        ,SS BABY FOOD                  ,Earth's Best                  ,Packaged Grocery              ,1 29,6/20/18 0:00,1/27/19 16:58,"ORGANIC PEAS, WATER, ORGANIC BROWN RICE ",ORGANIC PEAS, WATER, ORGANIC BROWN RICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43753,Stock Inventory,23923300354,Corn & Butternut Squash OG,4 oz ,EB Corn & Buttrnt Squash OG 4OZ,1,SHELF STABLE BABY FOOD        ,SS BABY FOOD                  ,Earth's Best                  ,Packaged Grocery              ,1 5,8/9/21 0:00,11/23/21 13:40,ORGANIC CORN,ORGANIC CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
